contrast	estimate	se	df	z_ratio	p_value	roi	atlas
criticalLang vs. criticalMD	-0.225520887821222	0.019487300127572	Inf	-11.5727107575123	5.66636245440546e-31	39	DKT
criticalAlice vs. criticalLang	-0.369642314297748	0.0842399961182434	Inf	-4.38796689613921	1.14415185029185e-05	40	DKT
criticalAlice vs. criticalMD	-0.850648385852143	0.084868961085495	Inf	-10.0230799926397	1.20682316127119e-23	40	DKT
criticalLang vs. criticalMD	-0.481006071554395	0.0365370883994313	Inf	-13.1648714395612	1.39775350622035e-39	40	DKT
criticalAlice vs. criticalLang	0.489150700972237	0.0888530253636794	Inf	5.50516652607069	3.68819473932916e-08	42	DKT
criticalAlice vs. criticalMD	-0.505180419332828	0.0892339113104826	Inf	-5.6613053480878	1.50225843562632e-08	42	DKT
criticalLang vs. criticalMD	-0.994331120305065	0.0383258548745187	Inf	-25.9441341507076	2.11769507023508e-148	42	DKT
criticalAlice vs. criticalLang	0.0298503337502818	0.0299026256720002	Inf	0.998251259862864	0.318157535667247	43	DKT
criticalAlice vs. criticalMD	0.0726285894315258	0.030390478655368	Inf	2.3898468416751	0.0168554001780938	43	DKT
criticalLang vs. criticalMD	0.0427782556812439	0.0131966692442478	Inf	3.24159489712832	0.00118862852805809	43	DKT
criticalAlice vs. criticalLang	-0.188300780830242	0.0374618855785537	Inf	-5.02646297489203	4.99608888777934e-07	44	DKT
criticalAlice vs. criticalMD	-0.528553759924921	0.037575841280841	Inf	-14.0663187278901	6.11718261868688e-45	44	DKT
